Date,Open,High,Low,Close,Volume
2022-11-11 00:00:00+07:00,82.0,83.0,81.0,82.0,13270300
2022-11-14 00:00:00+07:00,82.0,84.0,82.0,82.0,7670900
2022-11-15 00:00:00+07:00,82.0,84.0,82.0,82.0,8600700
2022-11-16 00:00:00+07:00,83.0,84.0,82.0,83.0,9131900
2022-11-17 00:00:00+07:00,83.0,86.0,82.0,86.0,20173500
2022-11-18 00:00:00+07:00,86.0,87.0,84.0,85.0,9050800
2022-11-21 00:00:00+07:00,85.0,86.0,83.0,84.0,4742200
2022-11-22 00:00:00+07:00,84.0,87.0,82.0,86.0,14891500
2022-11-23 00:00:00+07:00,86.0,87.0,83.0,84.0,11054400
2022-11-24 00:00:00+07:00,84.0,85.0,83.0,84.0,5261100
2022-11-25 00:00:00+07:00,85.0,85.0,83.0,84.0,3953700
2022-11-28 00:00:00+07:00,84.0,85.0,82.0,83.0,9057500
2022-11-29 00:00:00+07:00,83.0,84.0,82.0,83.0,5449800
2022-11-30 00:00:00+07:00,83.0,84.0,82.0,82.0,5592600
2022-12-01 00:00:00+07:00,83.0,83.0,80.0,81.0,9704200
2022-12-02 00:00:00+07:00,82.0,82.0,78.0,78.0,15621000
2022-12-05 00:00:00+07:00,78.0,78.0,73.0,73.0,35203500
2022-12-06 00:00:00+07:00,74.0,74.0,68.0,71.0,17314700
2022-12-07 00:00:00+07:00,71.0,78.0,69.0,76.0,19270500
2022-12-08 00:00:00+07:00,77.0,79.0,74.0,75.0,13409000
2022-12-09 00:00:00+07:00,75.0,77.0,73.0,73.0,2121000
2022-12-12 00:00:00+07:00,75.0,75.0,72.0,73.0,4256900
2022-12-13 00:00:00+07:00,75.0,75.0,72.0,74.0,3049300
2022-12-14 00:00:00+07:00,74.0,74.0,70.0,70.0,4428800
2022-12-15 00:00:00+07:00,69.0,73.0,68.0,69.0,5594700
2022-12-16 00:00:00+07:00,69.0,71.0,67.0,71.0,4781300
2022-12-19 00:00:00+07:00,71.0,72.0,68.0,68.0,4330100
2022-12-20 00:00:00+07:00,69.0,69.0,67.0,67.0,6149000
2022-12-21 00:00:00+07:00,67.0,69.0,65.0,66.0,5462600
2022-12-22 00:00:00+07:00,66.0,72.0,65.0,68.0,5438700
2022-12-23 00:00:00+07:00,68.0,69.0,66.0,67.0,2368800
2022-12-26 00:00:00+07:00,67.0,69.0,66.0,68.0,2658700
2022-12-27 00:00:00+07:00,69.0,70.0,68.0,68.0,5714900
2022-12-28 00:00:00+07:00,69.0,69.0,66.0,67.0,3388600
2022-12-29 00:00:00+07:00,67.0,69.0,66.0,66.0,4784400
2022-12-30 00:00:00+07:00,66.0,74.0,66.0,68.0,33403900
2023-01-02 00:00:00+07:00,69.0,74.0,67.0,73.0,14738200
2023-01-03 00:00:00+07:00,71.0,77.0,70.0,72.0,110376100
2023-01-04 00:00:00+07:00,73.0,73.0,67.0,67.0,48396400
2023-01-05 00:00:00+07:00,63.0,67.0,63.0,63.0,60678400
2023-01-06 00:00:00+07:00,62.0,63.0,59.0,59.0,27779100
2023-01-09 00:00:00+07:00,58.0,59.0,55.0,55.0,35268000
2023-01-10 00:00:00+07:00,55.0,64.0,55.0,61.0,40528300
2023-01-11 00:00:00+07:00,63.0,64.0,59.0,63.0,14411000
2023-01-12 00:00:00+07:00,64.0,67.0,61.0,65.0,16211500
2023-01-13 00:00:00+07:00,67.0,67.0,64.0,64.0,3318900
2023-01-16 00:00:00+07:00,65.0,74.0,65.0,70.0,100696800
2023-01-17 00:00:00+07:00,71.0,73.0,67.0,69.0,37491000
2023-01-18 00:00:00+07:00,71.0,73.0,68.0,69.0,47319100
2023-01-19 00:00:00+07:00,70.0,73.0,69.0,71.0,34816100
2023-01-20 00:00:00+07:00,72.0,73.0,68.0,68.0,25783900
2023-01-24 00:00:00+07:00,69.0,70.0,67.0,68.0,13517000
2023-01-25 00:00:00+07:00,69.0,70.0,68.0,68.0,8151200
2023-01-26 00:00:00+07:00,68.0,70.0,67.0,68.0,9366100
2023-01-27 00:00:00+07:00,68.0,69.0,66.0,68.0,9413600
2023-01-30 00:00:00+07:00,68.0,68.0,64.0,64.0,19813200
2023-01-31 00:00:00+07:00,63.0,67.0,61.0,64.0,22056200
2023-02-01 00:00:00+07:00,64.0,67.0,63.0,65.0,4313000
2023-02-02 00:00:00+07:00,65.0,69.0,65.0,68.0,31813400
2023-02-03 00:00:00+07:00,69.0,70.0,67.0,68.0,15135900
2023-02-06 00:00:00+07:00,68.0,72.0,68.0,69.0,19047600
2023-02-07 00:00:00+07:00,69.0,72.0,68.0,72.0,16180300
2023-02-08 00:00:00+07:00,72.0,73.0,70.0,70.0,9532500
2023-02-09 00:00:00+07:00,70.0,73.0,69.0,70.0,29585200
2023-02-10 00:00:00+07:00,70.0,71.0,68.0,69.0,9665800
2023-02-13 00:00:00+07:00,69.0,70.0,68.0,68.0,6549000
2023-02-14 00:00:00+07:00,68.0,70.0,67.0,67.0,3530200
2023-02-15 00:00:00+07:00,68.0,69.0,67.0,67.0,4241700
2023-02-16 00:00:00+07:00,68.0,68.0,66.0,67.0,9003100
2023-02-17 00:00:00+07:00,68.0,68.0,66.0,68.0,6612200
2023-02-20 00:00:00+07:00,68.0,68.0,65.0,65.0,5398700
2023-02-21 00:00:00+07:00,65.0,67.0,64.0,65.0,4006700
2023-02-22 00:00:00+07:00,65.0,66.0,64.0,65.0,5273000
2023-02-23 00:00:00+07:00,65.0,66.0,64.0,64.0,5764500
2023-02-24 00:00:00+07:00,65.0,66.0,63.0,64.0,14940300
2023-02-27 00:00:00+07:00,64.0,64.0,63.0,63.0,3453000
2023-02-28 00:00:00+07:00,63.0,64.0,59.0,62.0,25673500
2023-03-01 00:00:00+07:00,62.0,63.0,61.0,62.0,2482200
2023-03-02 00:00:00+07:00,62.0,63.0,61.0,63.0,1890700
2023-03-03 00:00:00+07:00,63.0,63.0,61.0,62.0,3338600
2023-03-06 00:00:00+07:00,62.0,63.0,60.0,62.0,3936000
2023-03-07 00:00:00+07:00,62.0,65.0,62.0,64.0,7737200
2023-03-08 00:00:00+07:00,64.0,64.0,62.0,62.0,7188400
2023-03-09 00:00:00+07:00,63.0,64.0,62.0,63.0,2738500
2023-03-10 00:00:00+07:00,64.0,66.0,62.0,63.0,24742900
2023-03-13 00:00:00+07:00,63.0,64.0,62.0,62.0,8275600
2023-03-14 00:00:00+07:00,63.0,64.0,61.0,61.0,10972400
2023-03-15 00:00:00+07:00,62.0,63.0,61.0,61.0,5029200
2023-03-16 00:00:00+07:00,61.0,62.0,60.0,61.0,4609600
2023-03-17 00:00:00+07:00,61.0,63.0,61.0,61.0,4590000
2023-03-20 00:00:00+07:00,61.0,70.0,61.0,70.0,48210900
2023-03-21 00:00:00+07:00,75.0,75.0,66.0,67.0,21556500
2023-03-24 00:00:00+07:00,67.0,70.0,65.0,66.0,11933800
